sbj rep speed density distance duration resp
1.000000 1.000000 10.000000 1.000000 210.000000 35.000000 0.969532
1.000000 2.000000 10.000000 1.000000 210.000000 35.000000 1.150882
1.000000 3.000000 10.000000 1.000000 210.000000 35.000000 1.259516
1.000000 4.000000 10.000000 1.000000 210.000000 35.000000 1.281528
1.000000 5.000000 10.000000 1.000000 210.000000 35.000000 1.118764
1.000000 1.000000 20.000000 1.000000 210.000000 35.000000 0.698737
1.000000 2.000000 20.000000 1.000000 210.000000 35.000000 1.176118
1.000000 3.000000 20.000000 1.000000 210.000000 35.000000 0.797931
1.000000 4.000000 20.000000 1.000000 210.000000 35.000000 0.787072
1.000000 5.000000 20.000000 1.000000 210.000000 35.000000 0.947277
1.000000 1.000000 10.000000 1.000000 210.000000 70.000000 0.841486
1.000000 2.000000 10.000000 1.000000 210.000000 70.000000 0.728786
1.000000 3.000000 10.000000 1.000000 210.000000 70.000000 0.387375
1.000000 4.000000 10.000000 1.000000 210.000000 70.000000 0.859165
1.000000 5.000000 10.000000 1.000000 210.000000 70.000000 0.627436
1.000000 1.000000 20.000000 1.000000 210.000000 70.000000 0.349981
1.000000 2.000000 20.000000 1.000000 210.000000 70.000000 0.325087
1.000000 3.000000 20.000000 1.000000 210.000000 70.000000 0.490655
1.000000 4.000000 20.000000 1.000000 210.000000 70.000000 0.399811
1.000000 5.000000 20.000000 1.000000 210.000000 70.000000 0.756539
1.000000 1.000000 10.000000 1.000000 230.000000 35.000000 1.228281
1.000000 2.000000 10.000000 1.000000 230.000000 35.000000 1.180201
1.000000 3.000000 10.000000 1.000000 230.000000 35.000000 0.813303
1.000000 4.000000 10.000000 1.000000 230.000000 35.000000 0.966907
1.000000 5.000000 10.000000 1.000000 230.000000 35.000000 1.177990
1.000000 1.000000 20.000000 1.000000 230.000000 35.000000 0.781417
1.000000 2.000000 20.000000 1.000000 230.000000 35.000000 0.821334
1.000000 3.000000 20.000000 1.000000 230.000000 35.000000 0.836724
1.000000 4.000000 20.000000 1.000000 230.000000 35.000000 0.778687
1.000000 5.000000 20.000000 1.000000 230.000000 35.000000 0.950815
1.000000 1.000000 10.000000 1.000000 230.000000 70.000000 0.577178
1.000000 2.000000 10.000000 1.000000 230.000000 70.000000 0.567147
1.000000 3.000000 10.000000 1.000000 230.000000 70.000000 0.738535
1.000000 4.000000 10.000000 1.000000 230.000000 70.000000 0.711317
1.000000 5.000000 10.000000 1.000000 230.000000 70.000000 0.616496
1.000000 1.000000 20.000000 1.000000 230.000000 70.000000 0.496121
1.000000 2.000000 20.000000 1.000000 230.000000 70.000000 0.732123
1.000000 3.000000 20.000000 1.000000 230.000000 70.000000 0.563131
1.000000 4.000000 20.000000 1.000000 230.000000 70.000000 0.716672
1.000000 5.000000 20.000000 1.000000 230.000000 70.000000 0.273273
1.000000 1.000000 10.000000 1.000000 250.000000 35.000000 1.216315
1.000000 2.000000 10.000000 1.000000 250.000000 35.000000 1.120393
1.000000 3.000000 10.000000 1.000000 250.000000 35.000000 1.305912
1.000000 4.000000 10.000000 1.000000 250.000000 35.000000 1.237744
1.000000 5.000000 10.000000 1.000000 250.000000 35.000000 1.281062
1.000000 1.000000 20.000000 1.000000 250.000000 35.000000 0.977595
1.000000 2.000000 20.000000 1.000000 250.000000 35.000000 0.776853
1.000000 3.000000 20.000000 1.000000 250.000000 35.000000 1.057340
1.000000 4.000000 20.000000 1.000000 250.000000 35.000000 0.817133
1.000000 5.000000 20.000000 1.000000 250.000000 35.000000 0.940199
1.000000 1.000000 10.000000 1.000000 250.000000 70.000000 0.946431
1.000000 2.000000 10.000000 1.000000 250.000000 70.000000 0.820063
1.000000 3.000000 10.000000 1.000000 250.000000 70.000000 0.795778
1.000000 4.000000 10.000000 1.000000 250.000000 70.000000 0.734250
1.000000 5.000000 10.000000 1.000000 250.000000 70.000000 1.065233
1.000000 1.000000 20.000000 1.000000 250.000000 70.000000 0.345934
1.000000 2.000000 20.000000 1.000000 250.000000 70.000000 0.414573
1.000000 3.000000 20.000000 1.000000 250.000000 70.000000 0.645164
1.000000 4.000000 20.000000 1.000000 250.000000 70.000000 0.792120
1.000000 5.000000 20.000000 1.000000 250.000000 70.000000 0.910562
1.000000 1.000000 10.000000 10.000000 210.000000 35.000000 1.166739
1.000000 2.000000 10.000000 10.000000 210.000000 35.000000 1.143363
1.000000 3.000000 10.000000 10.000000 210.000000 35.000000 1.161601
1.000000 4.000000 10.000000 10.000000 210.000000 35.000000 1.631758
1.000000 5.000000 10.000000 10.000000 210.000000 35.000000 1.268422
1.000000 1.000000 20.000000 10.000000 210.000000 35.000000 0.632002
1.000000 2.000000 20.000000 10.000000 210.000000 35.000000 0.679809
1.000000 3.000000 20.000000 10.000000 210.000000 35.000000 0.657714
1.000000 4.000000 20.000000 10.000000 210.000000 35.000000 0.723406
1.000000 5.000000 20.000000 10.000000 210.000000 35.000000 0.694504
1.000000 1.000000 10.000000 10.000000 210.000000 70.000000 0.667208
1.000000 2.000000 10.000000 10.000000 210.000000 70.000000 0.912873
1.000000 3.000000 10.000000 10.000000 210.000000 70.000000 0.807733
1.000000 4.000000 10.000000 10.000000 210.000000 70.000000 0.671329
1.000000 5.000000 10.000000 10.000000 210.000000 70.000000 0.848396
1.000000 1.000000 20.000000 10.000000 210.000000 70.000000 0.570315
1.000000 2.000000 20.000000 10.000000 210.000000 70.000000 0.443170
1.000000 3.000000 20.000000 10.000000 210.000000 70.000000 0.405723
1.000000 4.000000 20.000000 10.000000 210.000000 70.000000 0.462164
1.000000 5.000000 20.000000 10.000000 210.000000 70.000000 0.373123
1.000000 1.000000 10.000000 10.000000 230.000000 35.000000 1.067862
1.000000 2.000000 10.000000 10.000000 230.000000 35.000000 0.603084
1.000000 3.000000 10.000000 10.000000 230.000000 35.000000 1.027064
1.000000 4.000000 10.000000 10.000000 230.000000 35.000000 1.119586
1.000000 5.000000 10.000000 10.000000 230.000000 35.000000 1.188326
1.000000 1.000000 20.000000 10.000000 230.000000 35.000000 0.941873
1.000000 2.000000 20.000000 10.000000 230.000000 35.000000 1.009890
1.000000 3.000000 20.000000 10.000000 230.000000 35.000000 0.696958
1.000000 4.000000 20.000000 10.000000 230.000000 35.000000 0.691430
1.000000 5.000000 20.000000 10.000000 230.000000 35.000000 0.783962
1.000000 1.000000 10.000000 10.000000 230.000000 70.000000 0.870281
1.000000 2.000000 10.000000 10.000000 230.000000 70.000000 0.786669
1.000000 3.000000 10.000000 10.000000 230.000000 70.000000 0.801236
1.000000 4.000000 10.000000 10.000000 230.000000 70.000000 0.769180
1.000000 5.000000 10.000000 10.000000 230.000000 70.000000 0.793824
1.000000 1.000000 20.000000 10.000000 230.000000 70.000000 0.513868
1.000000 2.000000 20.000000 10.000000 230.000000 70.000000 0.358768
1.000000 3.000000 20.000000 10.000000 230.000000 70.000000 0.381484
